Id,Price
4567,160367.77972953423
5925,119404.08501376935
960,139250.78112640374
3848,130799.78325856618
746,200090.83313562765
868,317288.0235955075
672,110608.89433933748
2471,211220.60527846604
4510,128592.97749465692
8354,256619.65564579447
6393,174149.01258669927
13270,227797.45068241458
5250,312973.89841602737
16751,165130.69706875278
11404,139450.1188265867
10588,326168.79023258557
14925,181954.31212336387
6791,193534.68635337282
16097,166093.56337665848
16428,375333.05985117855
6945,327902.7160705313
3190,190110.13349999153
15709,425726.28614396486
13155,132840.7195948688
7675,205020.30988569488
14686,239114.8634105574
609,152609.36945526922
11155,145900.2506239014
10869,205700.75781070697
15742,188418.36715714994
9245,181881.92339496085
3340,157945.61770844235
2359,297828.1771471623
8070,195577.15889084982
13707,128047.08046339206
16079,231843.87759583243
15937,241232.38185746712
14090,175617.94296140078
9008,211673.80936624028
16384,168225.7154653739
11657,258385.52168568133
13151,157268.13335050765
8990,151285.93072093037
11857,183936.6010426675
1565,167033.9958997177
8174,122839.32225348346
9247,257048.11911686618
10478,214445.33922305013
15509,152692.35718498647
8306,260216.95926305448
6642,181728.17452778557
7472,192746.5266878219
15989,127491.69651985042
13682,123701.58619864294
163,253376.44101414084
7076,173883.69848375223
7478,345005.3420832194
3029,188632.8991337686
1814,141181.174905866
10057,129493.6974367726
15100,203672.63377625032
12694,224008.08865628974
6291,189381.99189702404
12603,186381.31966755536
3218,232766.03309837112
13456,128604.17631813507
10170,229955.00264006524
4530,158917.72964064544
13329,172303.4903224369
4820,136040.0571260559
10896,179534.3512010763
13416,114042.56733171112
2701,204882.00213038098
11265,339544.08224793954
9189,265190.7263558184
1858,156865.6732368315
14536,247558.98735312387
6199,244345.42891833428
14730,154317.31295347324
7510,265991.6812337248
15505,156406.3963023059
7446,173897.15392662372
14016,197248.50237666216
14113,112489.03671328536
8721,307923.3246765305
6193,325825.4526880364
5717,177669.80943106898
5427,294457.7506069069
9520,475640.17937053076
6869,102160.56036969986
1658,158111.01650558115
6639,187505.3643918362
6283,186739.04670897796
6257,124507.59372300343
15235,174737.3543760727
902,234142.34838124094
8932,190111.8950280106
16469,409095.75336422684
2825,247019.79344891588
6450,407477.5961184898
11366,185526.05103046703
3801,338472.9181029632
11385,186804.29308940654
1079,184978.9038398513
3202,255208.0308160038
676,210944.54707854975
6185,286442.5058826605
7730,162776.8258067868
2573,185213.52509415985
10978,202989.86809120455
10962,252053.86899266153
8870,181318.27551262736
8496,180392.37213031168
5517,165022.376484231
927,169231.81678995994
13675,195970.8874213219
1499,221169.42388199896
15536,341654.6236830292
8602,355530.98579387995
12137,366713.21054923115
9865,246863.0720893834
